lex
LEXENTRY:\tCL\tCLOSE\tWORD,TYPE\tDETACH
LEXENTRY:\tCLT\tCIRCLET\tWORD,TYPE\tDETACH
LEXENTRY:\tCLUSTER\tCLUSTER\tWORD,TYPE\tDETACH
LEXENTRY:\tCMMNS\tCOMMONS\tWORD,TYPE\tDETACH
LEXENTRY:\tCMMN\tCOMMON\tWORD,TYPE\tDETACH
LEXENTRY:\tCNCD\tCONCORD\tWORD,TYPE\tDETACH
LEXENTRY:\tCNR\tCORNER\tWORD,TYPE\tDETACH
LEXENTRY:\tCNTN\tCONNECTION\tWORD,TYPE\tDETACH
LEXENTRY:\tCNWY\tCENTREWAY\tWORD,TYPE\tDETACH
LEXENTRY:\tCOLONNADE\tCOLONNADE\tWORD,TYPE\tDETACH
LEXENTRY:\tCOMMONS\tCOMMONS\tWORD,TYPE\tDETACH
LEXENTRY:\tCOMMON\tCOMMON\tWORD,TYPE\tDETACH
LEXENTRY:\tCONCORD\tCONCORD\tWORD,TYPE\tDETACH
LEXENTRY:\tCONCOURSE\tCONCOURSE\tWORD,TYPE\tDETACH
LEXENTRY:\tCONNECTION\tCONNECTION\tWORD,TYPE\tDETACH
LEXENTRY:\tCON\tCONCOURSE\tWORD,TYPE\tDETACH
LEXENTRY:\tCOPSE\tCOPSE\tWORD,TYPE\tDETACH
LEXENTRY:\tCORNER\tCORNER\tWORD,TYPE\tDETACH
LEXENTRY:\tCORSO\tCORSO\tWORD,TYPE\tDETACH
LEXENTRY:\tCOURSE\tCOURSE\tWORD,TYPE\tDETACH
LEXENTRY:\tCOURT\tCOURT\tWORD,TYPE\tDETACH
LEXENTRY:\tCOURTYARD\tCOURTYARD\tWORD,TYPE\tDETACH
LEXENTRY:\tCOVE\tCOVE\tWORD,TYPE\tDETACH
LEXENTRY:\tCPS\tCOPSE\tWORD,TYPE\tDETACH
LEXENTRY:\tCRCS\tCIRCUS\tWORD,TYPE\tDETACH
LEXENTRY:\tCRESCENT\tCRESCENT\tWORD,TYPE\tDETACH
LEXENTRY:\tCREST\tCREST\tWORD,TYPE\tDETACH
LEXENTRY:\tCRF\tCRIEF\tWORD,TYPE\tDETACH
LEXENTRY:\tCRIEF\tCRIEF\tWORD,TYPE\tDETACH
LEXENTRY:\tCRK\tCROOK\tWORD,TYPE\tDETACH
LEXENTRY:\tCROOK\tCROOK\tWORD,TYPE\tDETACH
LEXENTRY:\tCROSSING\tCROSSING\tWORD,TYPE\tDETACH
LEXENTRY:\tCROSS\tCROSS\tWORD,TYPE\tDETACH
LEXENTRY:\tCRSE\tCOURSE\tWORD,TYPE\tDETACH
LEXENTRY:\tCRSG\tCROSSING\tWORD,TYPE\tDETACH
LEXENTRY:\tCRSS\tCROSS\tWORD,TYPE\tDETACH
LEXENTRY:\tCRST\tCREST\tWORD,TYPE\tDETACH
LEXENTRY:\tCR\tCRESCENT\tWORD,TYPE\tDETACH
LEXENTRY:\tCRUISEWAY\tCRUISEWAY\tWORD,TYPE\tDETACH
LEXENTRY:\tCSAC\tCUL-DE-SAC\tWORD,TYPE\tDETACH
