select sum(cnt) as sum, inclass from (
    select name, pat, cnt, string_agg(word, '|' order by seq) as words,
           string_agg(inclass, '|' order by seq) as inclass
        from ( select l_stname_c as name, count(*) as cnt
                from rawdata.roadseg
                where l_stname_c not in ('None','Unknown')
                    and coalesce(nullif(nullif(l_hnumf, 0), -1),
                    nullif(nullif(l_hnuml, 0), -1),
                    nullif(nullif(r_hnumf, 0), -1),
                    nullif(nullif(r_hnuml, 0), -1)) is not null
                group by name
       ) as a,
       as_config as cfg,
       LATERAL as_parse( name, clexicon, 'fr_CA', 'SPACE,STOPWORD,DASH,PUNCT')
as std
    where cfg.id=26
    group by name, pat, cnt) as foo
group by inclass
order by sum desc;

Successfully run. Total query runtime: 21 min 33 secs. 921 rows affected.


"413"   "NUMBER|WORD,SINGLE|WORD,TYPE|WORD|WORD"
"410"   "WORD,TYPE|WORD|WORD,TYPE|WORD,TYPE"
"408"   "WORD|WORD,TYPE|WORD,TYPE|WORD,DIRECT|WORD,DIRECT"
"403"   "WORD,TYPE|WORD|WORD,TYPE|DIRECT"
"402"   "MIXED|WORD,TYPE|DIRECT"
"376"   "WORD,TYPE|NUMBER|WORD,SINGLE|WORD,TYPE"
"376"   "WORD|NUMBER|WORD,SINGLE"
"375"   "NUMBER|WORD|WORD,TYPE|DIRECT|DIRECT"
"348"   "WORD|MIXED,PCT|WORD,TYPE"
"337"   "NUMBER|WORD,TYPE|WORD,TYPE"
"337"   "WORD|WORD,TYPE|WORD,TYPE|NUMBER"
"333"   "WORD,TYPE|NUMBER|AMPERS|NUMBER"
"330"   "WORD,TYPE|WORD|WORD,TYPE|WORD,DIRECT"
"321"   "WORD,DIRECT|WORD|WORD,TYPE|WORD,TYPE"
"309"   "MIXED,PCT|WORD,TYPE|WORD"
"296"   "WORD,TYPE|NUMBER,QUAD"
"294"   "WORD|WORD,SINGLE|WORD|WORD,TYPE"
"290"   "WORD|WORD|WORD,TYPE|DIRECT|DIRECT"
"283"   "WORD|NUMBER|WORD,TYPE"
"274"   "NUMBER|WORD|WORD,TYPE|DIRECT|WORD,DIRECT"
"263"   "WORD|WORD,TYPE|NUMBER,QUAD"
"261"   "NUMBER,QUAD|WORD,TYPE|NUMBER"
"260"   "WORD,TYPE|WORD|WORD|WORD,TYPE"
"251"   "NUMBER|WORD,SINGLE|WORD,TYPE|DIRECT|DIRECT"
"247"   "WORD,TYPE|WORD|WORD,DOUBLE"
"242"   "WORD|WORD,SINGLE|WORD,TYPE|WORD,TYPE"
"239"   "WORD,SINGLE|WORD,SINGLE|WORD|WORD,TYPE"
"236"   "WORD,TYPE|WORD,DIRECT"
"233"   "WORD,DIRECT|MIXED|WORD,TYPE"
"228"   "NUMBER|WORD|WORD,TYPE|WORD,DIRECT|WORD,DIRECT"
"225"   "WORD|WORD|WORD,TYPE|DIRECT|WORD,DIRECT"
"221"   "WORD|WORD,TYPE|NUMBER|DIRECT"
"214"   "WORD|WORD,DOUBLE|WORD|WORD,TYPE"
"202"   "NUMBER|WORD,TYPE|WORD,TYPE|NUMBER"
"199"   "WORD,TYPE|WORD,TYPE|WORD,TYPE|WORD,DIRECT|DIRECT"
"199"   "NUMBER|WORD|WORD,TYPE|WORD,TYPE|WORD,DIRECT|DIRECT"
"194"   "NUMBER|WORD,TYPE|NUMBER"
"189"   "NUMBER,QUAD|WORD|WORD,TYPE|NUMBER"
"186"   "WORD,DOUBLE|WORD|WORD,TYPE"
"185"   "WORD,TYPE|WORD,TYPE|WORD|NUMBER|NUMBER"
"181"   "WORD|WORD,TYPE|NUMBER|WORD,DIRECT"
"179"   "WORD,TYPE|DIRECT"
"171"   "NUMBER|WORD|WORD,TYPE|WORD,TYPE"
"165"   "NUMBER|WORD,SINGLE|WORD,TYPE|WORD,TYPE|WORD"
"165"   "NUMBER,QUAD|WORD|WORD,TYPE"
"163"   "NUMBER,QUINT|WORD|WORD,TYPE"
"162"   "WORD,TYPE|WORD,TYPE|WORD,DIRECT|DIRECT"
"162"   "NUMBER,QUAD|NUMBER|WORD,TYPE"
"157"
"WORD,TYPE|NUMBER|WORD,SINGLE|WORD,DOUBLE|NUMBER|WORD,SINGLE|WORD,DIRECT"
"156"   "WORD|WORD,TYPE|WORD,QUALIF"
"155"   "WORD|NUMBER"
"154"   "WORD,TYPE|WORD|WORD|WORD|WORD,DIRECT"
"153"   "WORD|DIRECT|WORD,TYPE"
"149"   "WORD,SINGLE|WORD,TYPE|WORD,TYPE"
"148"   "WORD,TYPE|WORD,TYPE|WORD,TYPE|DIRECT"
"148"   "WORD,TYPE|WORD,TYPE|DIRECT|DIRECT"
"145"   "NUMBER|WORD|WORD,TYPE|WORD,TYPE|DIRECT|WORD,DIRECT"
