select sum(cnt) as sum,  sum(cnt)::float/2250481.0 as pct, inclass from (
  select name, cnt, string_agg(word, '|' order by seq) as words,
string_agg(inclass, '|' order by seq) as inclass
    from ( select clean_placenames(l_placenam) as name, count(*) as cnt from
rawdata.roadseg where l_placenam not in ('None','Unknown') group by name) as
a,
         as_config as cfg,
         LATERAL as_parse( name, clexicon, 'fr_CA',
'SPACE,STOPWORD,DASH,PUNCT') as std
   where cfg.id=26
   group by name, cnt
) as foo
group by inclass
order by sum desc;

Successfully run. Total query runtime: 6 min 50 secs. 205 rows affected. pg11

Total record count: 2,250,481 

"100"   "WORD|WORD|WORD,DOUBLE|WORD,TYPE|WORD,SINGLE|WORD"
"99"    "WORD|NUMBER|WORD|DIRECT|WORD"
"93"    "WORD|WORD|WORD|WORD|WORD,SINGLE|WORD"
"93"    "WORD|WORD,TYPE|WORD|WORD|WORD"
"92"    "WORD|WORD,DIRECT|WORD"
"89"    "WORD,TYPE|WORD,SINGLE|WORD"
"89"    "WORD|WORD,SINGLE|WORD|WORD|WORD|NUMBER"
"86"    "WORD,TYPE|WORD|WORD|WORD,SINGLE|WORD,TYPE"
"85"    "WORD|WORD|WORD,TYPE|WORD|WORD,TYPE"
"81"    "WORD,DIRECT|WORD,TYPE|WORD,DIRECT|DIRECT|WORD,TYPE"
"80"    "WORD|WORD|WORD|WORD|NUMBER"
"77"    "WORD|WORD,SINGLE|WORD,TYPE|WORD|WORD,TYPE"
"76"    "WORD|WORD,SINGLE|WORD|WORD|WORD,TYPE"
"74"    "WORD,TYPE|WORD,DIRECT|WORD|WORD|WORD"
"74"    "WORD,TYPE|WORD,TYPE|WORD,TYPE"
"73"    "DIRECT|WORD,TYPE|WORD,TYPE"
"70"    "WORD,DIRECT|WORD,TYPE|WORD,TYPE"
"70"    "WORD|WORD,TYPE|WORD|WORD|WORD|NUMBER"
"68"    "WORD|WORD|WORD,SINGLE|WORD,DOUBLE"
"63"    "WORD|WORD,SINGLE|WORD,DOUBLE|WORD|NUMBER"
"60"
"WORD,TYPE|WORD|WORD,SINGLE|WORD,TYPE|WORD|WORD,SINGLE|WORD|WORD,SINGLE|WORD,TYPE"
"59"    "WORD,DIRECT|WORD,TYPE|WORD,DIRECT|WORD,DIRECT|WORD,TYPE"
"58"    "WORD|WORD|WORD|WORD|WORD,TYPE"
"58"    "WORD|WORD|WORD|WORD|WORD|NUMBER"
"58"    "WORD,TYPE|WORD,TYPE|WORD"
