                                             placename                                             |  cnt  
 Grand Tracadie                                                                                    |    27
 Grande-Anse                                                                                       |    26
 Grande-Digue                                                                                      |   162
 Grande-Rivière                                                                                   |    41
 Grande-Vallée                                                                                    |    28
 Grande Anse                                                                                       |    16
 Grande Cache                                                                                      |    43
 Grande Greve                                                                                      |    14
 Grande Prairie                                                                                    |   292
 Grande Prairie No. 1, County of                                                                   |   285
 Grandes-Piles                                                                                     |    34
 Grandview                                                                                         |    43
 Grandview Bench                                                                                   |     4
 Granisle                                                                                          |    42
 Granite Hill                                                                                      |     1
 Granite Village                                                                                   |     3
 Granthams Landing                                                                                 |    26
 Granton                                                                                           |    16
 Grantville                                                                                        |     2
 Granum                                                                                            |    21
 Granville                                                                                         |    20
 Granville Beach                                                                                   |     3
 Granville Centre                                                                                  |    15
 Granville Ferry                                                                                   |    15
 Grasmere                                                                                          |    30
 Grass Cove                                                                                        |     3
 Grassland                                                                                         |     7
 Grasslands IR                                                                                     |     2
 Grassy Lake                                                                                       |    22
 Grassy Plains                                                                                     |    15
 Gravel Hill                                                                                       |     2
 Gray Creek                                                                                        |    22
 Gray Rapids                                                                                       |    10
 Graywood                                                                                          |    10
 Great Village                                                                                     |    24
 Greater Lakeburn                                                                                  |    14
 Green Bay                                                                                         |    10
 Green Court                                                                                       |     6
 Green Creek                                                                                       |     4
 Green Hill                                                                                        |     2
 Green Meadows                                                                                     |    10
 Green Mountain                                                                                    |     5
 Green Oaks                                                                                        |     8
 Green Road                                                                                        |     7
 Greenfield                                                                                        |    95
 Greenhill                                                                                         |    50
 Greenhill Lake                                                                                    |     3
 Greenland                                                                                         |     5
 Greenmount                                                                                        |     6
 Greenshields                                                                                      |     4
 Greenspond                                                                                        |    13
 Greenvale                                                                                         |     5
 Greenview No. 16, M.D. of                                                                         |   240
 Greenville                                                                                        |     6
 Greenville Station                                                                                |     1
 Greenwich                                                                                         |    33
 Greenwold                                                                                         |    16
 Greenwood                                                                                         |   184
 Greenwood Square                                                                                  |    10
 Gregg Settlement                                                                                  |     2
 Gregoire Lake #176                                                                                |     2
 Gregoire Lake #176A                                                                               |     2
 Gregoire Lake Estates                                                                             |     3
 Grenville                                                                                         |    36
 Grenville-sur-la-Rouge                                                                            |   177
 Gretna                                                                                            |    18
 Grey                                                                                              |    35
 Grimms Settlement                                                                                 |     2
 Grimshaw                                                                                          |    69
 Grindrod                                                                                          |    27
 Grise Fiord                                                                                       |     1
 Gros-Mécatina                                                                                    |    28
 Gros Cap 49                                                                                       |     1
 Gros Nez                                                                                          |     2
 Grosse-Île                                                                                       |    18
 Grosses-Roches                                                                                    |    14
 Grosses Coques                                                                                    |    17
 Grosvenor                                                                                         |     6
 Grouard                                                                                           |    23
 Groundbirch                                                                                       |    27
 Grove Hill                                                                                        |     8
 Grovedale                                                                                         |     8
 Groves Point                                                                                      |    13
 Guérin                                                                                           |    31
 Guernsey Cove                                                                                     |     4
 Guinea                                                                                            |     5
 Gulf Shore                                                                                        |    27
 Gull Lake                                                                                         |    10
 Gullivers Cove                                                                                    |     2
 Gundy                                                                                             |     6
 Gunn                                                                                              |     3
 Gunning Cove                                                                                      |    11
 Gutah                                                                                             |     1
 Guy                                                                                               |     8
 Guysborough                                                                                       |    43
 Guysborough Intervale                                                                             |     6
 Gwich'in                                                                                          |     2
 Gwynne                                                                                            |     5
 Gypsum Mines                                                                                      |     4
 Habitant                                                                                          |    10
 Hacheyville                                                                                       |     4
 Hacketts Cove                                                                                     |    19
 Hadleyville                                                                                       |     8
 Hagensborg                                                                                        |    36
 Hagwilget                                                                                         |    17
 Haines Junction                                                                                   |    40
 Hairy Hill                                                                                        |     8
 Halcomb                                                                                           |     2
 Haldimand County                                                                                  |   810
 Half Island Cove                                                                                  |    11
 Half Moon Bay                                                                                     |     5
 Half Moon Lake                                                                                    |     1
 Halfmoon Bay                                                                                      |   107
 Halfway Brook                                                                                     |     6
 Halfway Cove                                                                                      |     6
 Halfway River                                                                                     |    22
 Halfway River IR                                                                                  |    10
 Haliburton                                                                                        |    17
 Halibut Bay                                                                                       |     6
 Halifax                                                                                           |  1243
 Halkirk                                                                                           |     8
 Hall Beach                                                                                        |     1
 Halls Harbour                                                                                     |    17
 Ham-Nord                                                                                          |    42
 Ham-Sud                                                                                           |    30
 Hamilton                                                                                          |     9
 Hamilton Meadows                                                                                  |     1
 Hamilton Road                                                                                     |     4
 Hamiota                                                                                           |    38
 Hammonds Plains                                                                                   |   199
 Hammondvale                                                                                       |     8
 Hampden                                                                                           |    12
 Hampshire                                                                                         |     4
 Hampstead                                                                                         |    52
 Hampton                                                                                           |   163
 Hamtown Corner                                                                                    |     3
 Hanceville                                                                                        |    15
 Haneytown                                                                                         |    15
 Hanford Brook                                                                                     |     8
 Hanna                                                                                             |    54
 Hanover                                                                                           |   137
 Hansford                                                                                          |     5
 Hant's Harbour                                                                                    |     9
 Hants Border                                                                                      |    25
 Hantsport                                                                                         |    40
 Hanwell                                                                                           |   116
 Happy Adventure                                                                                   |     9
 Happy Valley-Goose Bay                                                                            |   173
 Harbour Breton                                                                                    |    34
 Harbour Centre                                                                                    |    11
 Harbour Grace                                                                                     |   140
 Harbour Main-Chapel's Cove-Lakeview                                                               |    37
 Harbourview                                                                                       |    10
 Harbourville                                                                                      |    21
 Harcourt                                                                                          |    16
 Hardisty                                                                                          |    28
 Hardwicke                                                                                         |     9
 Hardwood Hill                                                                                     |     7
 Hardwood Lake                                                                                     |     3
 Hardwood Lands                                                                                    |    17
 Hardwood Ridge                                                                                    |     4
 Hardy Island                                                                                      |    15
 Hare Bay                                                                                          |    29
 Harewood                                                                                          |     4
 Harmony                                                                                           |    26
 Harmony Mills                                                                                     |    14
 Harpellville                                                                                      |     5
 Harper                                                                                            |     6
 Harrietsfield                                                                                     |    24
 Harrigan Cove                                                                                     |    15
 Harrington                                                                                        |   169
 Harrison                                                                                          |    36
 Harrison Hot Springs                                                                              |    37
 Harrison Lake                                                                                     |     3
 Harrison Mills                                                                                    |    12
 Harrison Settlement                                                                               |     2
 Harriston                                                                                         |     7
 Harrop                                                                                            |    20
 Hart Lake                                                                                         |     8
 Hartfield                                                                                         |     2
 Hartford                                                                                          |    11
 Hartin Settlement                                                                                 |     6
 Hartland                                                                                          |    36
 Hartley Bay                                                                                       |     6
 Hartley Settlement                                                                                |     2
 Hartlin Settlement                                                                                |     3
 Hartney                                                                                           |    26
 Hartsville                                                                                        |     7
 Hartz Point                                                                                       |     2
 Harvey                                                                                            |   105
 Harvey Station                                                                                    |    14
 Harvie Heights                                                                                    |    12
 Hasler Flats                                                                                      |    13
 Hassett                                                                                           |     3
 Hastings                                                                                          |     7
 Hastings Lake                                                                                     |     3
 Hatchet Lake                                                                                      |    28
 Hatfield Point                                                                                    |    13
 Hatley                                                                                            |   131
 Hatzic                                                                                            |    52
 Haut-Lameque                                                                                      |     6
 Haut-Paquetville                                                                                  |     2
 Haut-Riviere-du-Portage                                                                           |    13
 Haut-Saint-Antoine                                                                                |     5
 Haut-Sheila                                                                                       |    24
 Haut-Shippagan                                                                                    |    15
 Haut de la Baie                                                                                   |     5
 Haute-Aboujagane                                                                                  |    13
 Havelock                                                                                          |    72
 Havendale                                                                                         |     2
 Havre-Saint-Pierre                                                                                |    63
 Havre Boucher                                                                                     |    17
 Hawke's Bay                                                                                       |     9
 Hawkins Corner                                                                                    |     4
 Hawkshaw                                                                                          |     2
 Hawthorne                                                                                         |     2
 Hay Cove                                                                                          |    12
 Hay Lake #209                                                                                     |     1
 Hay Lakes                                                                                         |    16
 Hay River                                                                                         |    85
 Hay River Dene No. 1                                                                              |     2
 Hay Settlement                                                                                    |    11
 Hayesville                                                                                        |     2
 Hayman Hill                                                                                       |     1
 Haynes                                                                                            |     5
 Hays                                                                                              |    18
 Hays River                                                                                        |    10
 Hayter                                                                                            |     7
 Hazel Glen                                                                                        |     7
 Hazel Grove                                                                                       |     8
 Hazel Hill                                                                                        |    11
 Hazelbrook                                                                                        |     6
 Hazeldale                                                                                         |     5
 Hazeldean                                                                                         |     4
 Hazelton                                                                                          |    24
 Hazelton Rural                                                                                    |    36
 Head of Cardigan                                                                                  |    11
 Head of Chezzetcook                                                                               |    22
 Head of Hillsborough                                                                              |     7
 Head of Jeddore                                                                                   |    18
 Head Of Millstream                                                                                |    13
 Head of Montague                                                                                  |     6
 Head of St. Margarets Bay                                                                         |    43
 Headingley                                                                                        |    63
 Heart's Content                                                                                   |    23
 Heart's Delight-Islington                                                                         |    43
 Heart's Desire                                                                                    |    16
 Heart Lake #167                                                                                   |     1
 Heathbell                                                                                         |     4
 Heatherdale                                                                                       |     7
 Heatherton                                                                                        |    21
 Heathland                                                                                         |     5
 Hebbs Cross                                                                                       |    27
 Hebbville                                                                                         |    33
 Hebert                                                                                            |     1
 Hébertville                                                                                      |    68
 Hébertville-Station                                                                              |    29
 Hebron                                                                                            |    38
 Heckmans Island                                                                                   |    17
 Hectanooga                                                                                        |     7
 Hedgeville                                                                                        |     8
 Hedley                                                                                            |    29
 Heffley Lake                                                                                      |    28
 Heinsburg                                                                                         |    10
 Heisler                                                                                           |    13
 Hemford                                                                                           |    21
 Hemlock Valley                                                                                    |    16
 Hemmingford                                                                                       |    50
 Henderson Settlement                                                                              |     4
 Hendrix Lake                                                                                      |    13
 Henryville                                                                                        |    58
 Henvey Inlet 2                                                                                    |     1
 Heritage Pointe                                                                                   |     7
 Hermans Island                                                                                    |     8
 Hermitage                                                                                         |     6
 Hermitage-Sandyville                                                                              |     4
 Hérouxville                                                                                      |    38
 Herring Cove                                                                                      |    66
 Herronton                                                                                         |     2
 Hersonville                                                                                       |     3
 Hesketh                                                                                           |     2
 Heywoods                                                                                          |     1
 Hiawatha First Nation 36                                                                          |    11
 Hibernia                                                                                          |     5
 Hibernia Cove                                                                                     |     1
 Higgins Mountain                                                                                  |     1
 Higginsville                                                                                      |     6
 High Bank                                                                                         |     6
 High Level                                                                                        |    62
 High Prairie                                                                                      |    49
 High River                                                                                        |   211
 Highbury                                                                                          |     7
 Highfield                                                                                         |     7
 Highland Hill                                                                                     |     3
 Highland Village                                                                                  |    14
 Highlands                                                                                         |    74
 Hilda                                                                                             |     8
 Hilden                                                                                            |    43
 Hill Spring                                                                                       |    20
 Hillandale                                                                                        |     4
 Hillaton                                                                                          |    16
 Hillcrest                                                                                         |    29
 Hillgrove                                                                                         |     4
 Hilliard                                                                                          |    10
 Hills                                                                                             |    17
 Hillsboro                                                                                         |     7
 Hillsborough                                                                                      |    39
 Hillsborough West                                                                                 |     1
 Hillsburg                                                                                         |     8
 Hillsburn                                                                                         |     4
 Hillsdale                                                                                         |     4
 Hillside                                                                                          |    16
 Hillside Boularderie                                                                              |     6
 Hillsvale                                                                                         |    11
 Hilltop                                                                                           |     1
 Hilltown                                                                                          |     6
 Hillview                                                                                          |     3
 Hinchinbrooke                                                                                     |    67
 Hines Creek                                                                                       |    16
 Hinton                                                                                            |   165
 Hixon                                                                                             |    60
 Hixon South                                                                                       |     6
 Hoadley                                                                                           |     1
 Hobbema                                                                                           |     9
 Hodson                                                                                            |     2
 Holberg                                                                                           |    19
 Holden                                                                                            |    16
 Hole or Hollow Water 10                                                                           |     1
 Holland Harbour                                                                                   |     5
 Holmesville                                                                                       |    11
 Holtville                                                                                         |     3
 Holyrood                                                                                          |    68
 Homeville                                                                                         |     7
 Honeydale                                                                                         |     4
 Honeymoon Bay                                                                                     |    35
 Honfleur                                                                                          |    20
 Hope                                                                                              |   198
 Hope River                                                                                        |    13
 Hope Town                                                                                         |    18
 Hopedale                                                                                          |    14
 Hopefield                                                                                         |     6
 Hopewell                                                                                          |    14
 Hopewell Cape                                                                                     |     8
 Hopewell Hill                                                                                     |    12
 Hopkins Landing                                                                                   |     2
 Hornby Island                                                                                     |    69
 Horse Lake #152B                                                                                  |     1
 Horsefly                                                                                          |    63
 Horseshoe Bay                                                                                     |     8
 Hortonville                                                                                       |    22
 Hosmer                                                                                            |    49
 Houston                                                                                           |   185
 Howard                                                                                            |     8
 Howard Brook                                                                                      |     4
 Howe Bay                                                                                          |     7
 Howick                                                                                            |    18
 Howie Centre                                                                                      |    65
 Howlan                                                                                            |     2
 Howland Ridge                                                                                     |     2
 Howley                                                                                            |    19
 Howser                                                                                            |    20
 Hoyt                                                                                              |    19
 Hubbards                                                                                          |    45
 Hubbards Point                                                                                    |     8
 Huberdeau                                                                                         |    38
 Hubley                                                                                            |    63
 Hudson                                                                                            |   122
 Hudsons Hope                                                                                      |   117
 Hughenden                                                                                         |    12
 Hughes Brook                                                                                      |     7
 Humber Arm South                                                                                  |    29
 Hunter River                                                                                      |     6
 Hunters Home                                                                                      |     6
 Hunters Mountain                                                                                  |     5
 Huntingdon                                                                                        |    53
 Huntington                                                                                        |     5
 Huntley                                                                                           |    13
 Hunts Point                                                                                       |    12
 Hupel                                                                                             |    32
 Hureauville                                                                                       |     4
 Hussar                                                                                            |    14
 Hutch Lake                                                                                        |     2
 Huxley                                                                                            |    11
 Hyannas                                                                                           |     5
 Hylo                                                                                              |     6
 Hythe                                                                                             |    22
 I.D. No. 12 Jasper Park                                                                           |    18
 I.D. No. 13 Elk Island                                                                            |    10
 I.D. No. 24 Wood Buffalo                                                                          |     1
 I.D. NO. 349                                                                                      |     1
 I.D. No. 4 Waterton                                                                               |    15
 I.D. No. 9 Banff                                                                                  |    30
 Ibex Valley                                                                                       |    10
 Iddesleigh                                                                                        |     2
 Igloolik                                                                                          |     1
 Ilford                                                                                            |     1
 Immigrant Road                                                                                    |     1
 Indian Arm                                                                                        |    12
 Indian Bay                                                                                        |     5
 Indian Brook                                                                                      |     3
 Indian Brook 14                                                                                   |    22
 Indian Fields                                                                                     |     4
 Indian Harbour                                                                                    |    15
 Indian Harbour Lake                                                                               |    11
 Indian Island                                                                                     |    12
 Indian Lake                                                                                       |     1
 Indian Mountain                                                                                   |    12
 Indian Path                                                                                       |     2
 Indian Point                                                                                      |     9
 Indian River                                                                                      |    13
 Indus                                                                                             |     2
 Inglewood                                                                                         |     1
 Inglisville                                                                                       |     2
 Ingomar                                                                                           |     5
 Ingonish                                                                                          |    59
 Ingonish Beach                                                                                    |    30
 Ingonish Centre                                                                                   |    17
 Ingonish Ferry                                                                                    |     4
 Ingramport                                                                                        |    15
 Inkerman                                                                                          |    16
 Inkerman Ferry                                                                                    |     9
